City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,taroa,8.7058,171.2275,300.93,80,15,8.06,MH,1704057385
146,hammerfest,70.6634,23.6821,267.4,63,55,5.14,NO,1704057385
147,broome,42.2506,-75.833,275.76,86,100,1.54,US,1704057386
148,tvoroyri,61.5556,-6.8111,280.48,92,100,15.2,FO,1704057386
149,boulsa,12.6675,-0.5758,297.42,14,1,4.19,BF,1704057386
150,chandla,25.0833,80.2,285.19,40,0,1.75,IN,1704057387
151,sibay,52.7181,58.6658,272.71,96,100,7.6,RU,1704057387
152,salinas,36.6777,-121.6555,288.19,82,40,6.17,US,1704057123
153,kirensk,57.7853,108.1119,266.46,95,100,3.58,RU,1704057387
154,mangrol,21.1167,70.1167,293.99,46,0,4.28,IN,1704057387
155,isafjordur,66.0755,-23.124,268.56,89,94,2.81,IS,1704057388
156,dongola,19.1667,30.4833,291.48,32,0,4.72,SD,1704057388
157,ola,59.5833,151.2833,247.66,84,94,3.42,RU,1704057388
158,arkalyk,50.2486,66.9114,273.76,98,100,8.67,KZ,1704057388
159,masuguru,-11.3667,38.4167,298.25,86,100,0.63,TZ,1704057388
160,severo-yeniseyskiy,60.3725,93.0408,261.25,89,100,4.02,RU,1704057388
161,padampur,29.6833,73.6167,283.29,39,0,1.91,IN,1704057389
162,iqaluit,63.7506,-68.5145,254.0,71,75,9.26,CA,1704057389
163,shahrud,36.4182,54.9763,276.27,67,18,0.56,IR,1704057389
164,balsas,-7.5325,-46.0356,303.5,52,100,3.32,BR,1704057217
165,battambang,13.1027,103.1982,299.76,60,100,1.23,KH,1704057390
166,port elizabeth,-33.918,25.5701,292.65,99,75,6.17,ZA,1704057390
167,shingu,33.7333,135.9833,280.91,71,1,4.38,JP,1704057390
168,porbandar,21.6422,69.6093,294.22,41,0,4.67,IN,1704057339
169,saint-pierre,-21.3393,55.4781,299.97,74,0,2.57,RE,1704057361
170,cidreira,-30.1811,-50.2056,294.1,62,100,3.78,BR,1704057390
171,gadzhiyevo,69.2551,33.3362,259.62,99,98,2.63,RU,1704057390
172,tura,25.5198,90.2201,287.63,64,0,1.43,IN,1704057391
173,zhangye,38.9342,100.4517,269.65,46,98,2.18,CN,1704057170
174,riverton,40.5219,-111.9391,282.62,58,0,1.79,US,1704057228
